r,l,t
4245.784142494202,386,2513.1808626651764
4347.280771076679,407,2516.384788751602
3743.992404997349,810,2535.2783777713776
5149.768115758896,4500,2579.142133951187
3734.5067447423935,430,2582.173988342285
1032.040466785431,93,2582.8098320961
3734.5067406892776,365,2586.2148706912994
649.7681248188019,73,2586.707247018814
649.7681248188019,73,2587.2259273529053
3733.558165669441,987,2594.0858914852142
3734.5067328214645,402,2597.052800655365
3748.735237598419,466,2600.4880497455597
5123.2082750201225,4500,2645.140581846237
645.0252940654755,76,2645.7164330482483
3744.940972685814,381,2661.430494785309
5115.61973208189,4500,2704.363002061844
4245.784142434597,638,2708.4474194049835
1031.0919017791748,93,2709.08109664917
3742.0952753424644,476,2712.1868467330933
4242.938437223434,398,2714.7322220802307
4348.229330062866,460,2718.4097862243652
5134.591057121754,4500,2764.958518266678
649.7681248188019,73,2765.529123544693
3747.7866706848145,315,2767.860327720642
3737.35243332386,425,2770.893759250641
3740.1981390714645,359,2786.5170936584473
4152.824610650539,365,2789.3265924453735
5077.677073717117,4500,2834.007646560669
3747.7866748571396,766,2838.722109556198
2219.645862996578,544,2842.2878806591034
4244.835572779179,394,2844.8329606056213
4153.773177564144,490,2847.9714889526367
3748.735239624977,806,2853.0539088249207
649.7681248188019,73,2853.563947200775
649.7681248188019,73,2854.0597336292267
3743.0438361167908,410,2869.41876745224
3743.0438379645348,310,2871.9145777225494
3647.23861938715,319,2874.075788974762
3742.095274448395,489,2877.580995082855
649.7681248188019,73,2878.0931754112244
3747.7866753339767,375,2880.4938900470734
3737.3524379730225,380,2882.9092452526093
4344.435066521168,422,2885.6441435813904
5090.956999719143,4500,2924.9143812656403
3747.78667396307,374,2927.2865386009216
4351.075042068958,362,2929.5547568798065
3747.786671757698,358,2943.9709737300873
3647.238609313965,443,2947.274199962616
4353.920734882355,430,2950.0672900676727
3747.7866719961166,741,2955.0808959007263
3748.735238790512,398,2957.840812444687
3740.198142528534,363,2960.5597388744354
1031.091900587082,93,2961.184537410736
3740.198136150837,469,2964.2418444156647
5121.311131536961,4500,3011.0383310317993
3743.9924040436745,467,3014.2918195724487
4247.6812717318535,475,3030.3443927764893
3749.683811724186,1090,3038.171418428421
5102.339785158634,4500,3081.098616361618
3652.9300095438957,752,3086.243236541748
1032.9890344142914,93,3087.083808898926
3745.889539897442,366,3089.8504934310913
3646.2900413274765,512,3093.520209789276
2222.4915612339973,215,3095.2226111888885
3748.7352410554886,329,3097.4499526023865
3653.8785777688026,388,3112.3803594112396
3735.4553027153015,337,3115.038980960846
3651.032878637314,313,3117.5123319625854
4148.08178460598,354,3120.326783180237
3636.8043741583824,296,3122.5871012210846
5124.156834125519,4500,3167.855854034424
5078.625628530979,4500,3210.7596089839935
3749.683802962303,725,3216.0627822875977
3631.112984776497,294,3218.2435269355774
4929.700670063496,4500,3262.5394444465637
4255.2698075175285,437,3278.854537963867
3737.3524421453476,1026,3285.590937614441
3633.9586746692657,339,3287.7843866348267
3742.095269382,312,3289.7354044914246
4164.207418322563,391,3292.2255384922028
3645.34147721529,297,3294.128288269043
5143.1281643509865,4500,3338.9418914318085
5129.848239302635,4500,3394.0332415103912
4165.1559772491455,375,3397.307770729065
3747.7866733670235,691,3418.337694644928
3741.1467116475105,375,3421.375806570053
5038.785826683044,4500,3466.209581375122
4252.424107611179,401,3469.1612479686737
3739.2495682239532,711,3474.11518406868
5095.699833273888,4500,3519.7244925498962
3639.6500784754753,271,3521.7184567451477
5083.368464708328,4500,3566.9991126060486
4252.424111306667,483,3570.3285534381866
3736.4038686156273,287,3583.9493215084076
5069.139966607094,4500,3626.4715542793274
4153.77318406105,493,3629.5081980228424
3648.1871710419655,359,3631.7915654182434
4243.887007951736,325,3633.8789718151093
3736.4038731455803,331,3636.0078885555267
4248.62984007597,599,3639.7055134773254
5146.922415435314,4500,3685.150915622711
4997.997467815876,4500,3729.693065881729
5055.860027492046,4500,3772.8992636203766
5085.2655881643295,4500,3826.354113817215
4249.578406155109,416,3829.2030181884766
5108.979773879051,4500,3872.2766304016113
3646.2900389432907,430,3875.2571308612823
4247.6812735795975,425,3880.273666381836
3739.249570608139,305,3884.3854925632477
4150.927483916283,354,3887.887017250061
3744.9409680962563,293,3890.015001296997
4153.773179590702,338,3892.4777870178223
4148.08177036047,351,3894.881582260132
2527.930006325245,274,3896.8065786361694
3647.238606631756,387,3899.444837808609
5127.951084792614,4500,3958.256740808487
5082.419885873795,4500,4001.181728363037
4149.978910088539,346,4003.4833991527557
3745.889530479908,401,4006.2084283828735
5030.248745501041,4500,4050.926047563553
4147.1332114338875,397,4053.8041729927063
4245.784138083458,382,4056.5845096111298
5015.071659743786,4500,4101.492126464844
3736.403871357441,302,4104.00043463707
3739.24957126379,320,4106.851811885834
5014.123087406158,4500,4166.127164840698
3746.8380993008614,279,4167.990254878998
5004.637426376343,4500,4212.21176815033
3652.93000549078,338,4214.820366382599
4961.003360569477,4500,4259.3196413517
5099.494098126888,4500,4302.332937479019
5109.92832249403,4500,4348.724242210388
5016.02022010088,4500,4395.228272676468
4252.4241064190865,430,4398.8734929561615
4942.032029747963,4500,4444.742349147797
5003.688848674297,4500,4484.205942153931
3743.992399096489,254,4497.358549594879
5090.008416950703,4500,4536.677750825882
4921.163555085659,4500,4575.9544405937195
5108.979752242565,4500,4615.106942892075
4913.575030326843,4500,4654.540079116821
4873.735228538513,4500,4693.79199385643
4901.243655025959,4500,4735.151567935944
4239.144169986248,416,4737.744492530823
4836.741119086742,4500,4782.392872571945
4908.832200527191,4500,4834.0344915390015
3745.889531135559,322,4836.805911779404
4153.773182153702,334,4852.3725502491
4940.134875893593,4500,4895.944896697998
4800.695591151714,4500,4937.888579130173
4907.883632361889,4500,4991.347520112991
3629.2158420085907,280,4994.0568261146545
3656.7242729067802,358,4997.2725076675415
4884.1694549918175,4500,5044.458016633987
4993.2546156048775,4500,5094.347226142883
4988.511792302132,4500,5144.085901498795
4966.694761812687,4500,5196.454632759094
4270.446876227856,380,5216.033620119095
3740.198136150837,376,5219.665224790573
5058.705718994141,4500,5276.070775985718
5080.522756159306,4500,5330.311008930206
4250.5269657969475,438,5334.472115755081
5123.208252429962,4500,5387.552165031433
5030.2487270236015,4500,5440.433612585068
5086.214152038097,4500,5495.539300441742
4155.670306146145,499,5499.806325912476
5139.333893537521,4500,5553.505019664764
5097.596952795982,4500,5624.948252439499
5041.631519675255,4500,5680.344115018845
4868.992397785187,4500,5731.940063714981
4857.609603524208,4500,5785.135982990265
5086.214145958424,4500,5841.478928565979
5062.499992966652,4500,5895.414760828018
5168.739448368549,4500,5947.851668834686
9826.333305299282,782,5954.814265966415
5057.7571457624435,4500,6006.511838674545
5127.9510642290115,4500,6068.097745418549
9822.944434642792,797,6097.627486228943
5088.111295878887,4500,6158.859508275986
5065.345682322979,4500,6212.0013382434845
5008.431695699692,4500,6267.073567867279
5137.436745882034,4500,6321.506596565247
4949.620550215244,4500,6371.8733768463135
5036.888689935207,4500,6417.00883769989
5118.465409994125,4500,6466.6378927230835
5076.728466808796,4500,6512.852413415909
4978.077549934387,4500,6576.497560977936
5055.860012829304,4500,6627.974136590958
5070.088523387909,4500,6674.235425949097
5020.763051211834,4500,6720.780894756317
3743.0438338518143,412,6724.167479991913
4831.049722075462,4500,6767.7105984687805
1030.1433339118958,93,6768.376012563705
4874.683787345886,4500,6812.011563539505
5087.162707865238,4500,6853.058809995651
4974.283275425434,4500,6893.445437192917
