r,l,t
9731.055541396141,1211,1573.5391557216644
9797.388880193233,912,1576.1257138252258
9703.833343803883,1333,1579.7497425079346
4147.133210718632,436,1581.000138759613
3638.7015120983124,398,1582.1292448043823
9797.277744948864,913,1584.730063199997
9797.2777261734,913,1587.3032641410828
9712.9444206357,1292,1590.9018812179565
9798.388844311237,908,1593.338710784912
3649.135739505291,351,1594.2899718284607
9844.777745425701,699,1596.2870080471039
9868.61108726263,592,1598.0071158409119
9826.444379627705,781,1600.2255918979645
5069.139956533909,872,1602.6686537265778
9844.777719438076,699,1604.6642916202545
5069.139956891537,861,1607.0979011058807
9668.277781546116,1493,1611.1589045524597
5069.139959692955,872,1613.6095287799835
4147.133211255074,783,1615.8306715488434
9821.499951183796,804,1618.12637591362
9797.27772718668,913,1620.6771748065948
9866.111040472984,603,1622.3971283435822
5069.1399547457695,872,1624.8313448429108
9800.333298623562,899,1627.2811179161072
9799.555517613888,902,1629.7244396209717
9800.333287239075,899,1632.2570946216583
3646.2900398373604,440,1633.501170873642
9800.555552661419,898,1636.0117719173431
9844.777731657028,699,1637.8854835033417
2038.4696370363235,201,1638.4794173240662
9814.33329564333,836,1640.850229024887
9800.166661024094,900,1643.3802554607391
9799.555513858795,902,1645.932853460312
5069.139954924583,872,1648.381719827652
9421.666641414165,2603,1655.3284895420074
9797.3333183527,912,1657.892021894455
9743.666623711586,1154,1661.1963725090027
9797.38884651661,912,1663.6439979076385
9797.388863146305,912,1666.0413489341736
9808.666600883007,861,1668.3161025047302
9800.33328396082,899,1670.7034492492676
9797.333309233189,912,1673.1870422363281
9844.777740597725,699,1675.0902662277222
9741.166663467884,1165,1678.2030503749847
3646.2900364995003,526,1679.68594789505
9798.388823330402,908,1682.2838900089264
9709.16661888361,1309,1685.9397277832031
3642.495761990547,270,1686.7212018966675
644.0767257213593,73,1686.972633600235
9665.666672229767,1505,1690.8946027755737
3642.495778977871,398,1691.9802215099335
9817.500002384186,822,1694.1774322986603
9729.72218966484,1217,1697.4362089633942
